,Banyo Sayısı,Bina Yaşı,Brüt Metrekare,Cinsi,Dairenin Katı,Depozito,Eşya Durumu,Isıtma,Kat Sayısı,Kategori,Kullanım Durumu,Net Metrekare,Oda Sayısı,Salon Metrekare,Site İçerisinde,Takas,Türü,WC Sayısı,Yapı Durumu,Yapı Tipi,İlan Numarası,İlan Tarihi,district,county,Title,price
34968,-,-,75m,,-,-,-,-,3,Kiralık,-,75m,-,-,Hayır,-,Daire,-,-,-,4994589,02.02.2019,Side Mahallesi',Manavgat,Sidede esyali yeni bina kiralik daire,750 TL
34969,1,11-20,140m,,1. Kat,-,-,Klimalı,4,Kiralık,Boş,130m,3+1,-,Evet,-,Daire,-,-,-,6971789,01.02.2019,Pınarbaşı Mahallesi',Konyaaltı,5m migrosa yürüme mesafesinde kiralık daire,1.450 TL
34970,1,5-10,170m,,3. Kat,2900 TRY,-,Kombi Doğalgaz,4,Kiralık,Boş,160m,3+1,-,Hayır,-,Daire,-,-,-,6971535,01.02.2019,Uncalı Mahallesi',Konyaaltı,Antalya konyaaltı uncalı mah kiralık 3+1 daire,2.900 TL
34971,1,5-10,160m,,1. Kat,-,-,Klimalı,4,Kiralık,Boş,160m,3+1,-,Hayır,-,Daire,-,-,-,6730495,01.02.2019,Gülveren Mahallesi',Kepez,Gülveren mahelesin de kiralık 3+1 ev,1.000 TL
34972,1,0 (Yeni),50m,,Yüksek giriş,-,-,Klimalı,4,Kiralık,Boş,50m,1+1,-,Hayır,-,Daire,-,-,-,6730642,01.02.2019,Şafak Mahallesi',Kepez,şafak mahallesin de 1+1 kiralık daire,700 TL
34973,1,0 (Yeni),60m,,Yüksek giriş,-,-,Klimalı,4,Kiralık,Boş,60m,2+1,-,Hayır,-,Daire,-,-,-,6730613,01.02.2019,Şafak Mahallesi',Kepez,şafak mahallesin de 2+1 kiralık daire,750 TL
34974,1,5-10,95m,,1. Kat,-,-,Klimalı,3,Kiralık,Boş,90m,2+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6966852,01.02.2019,Şafak Mahallesi',Kepez,Antalya kepez şafakta kiralık 2+1 daire no 17338,650 TL
34975,1,5-10,60m,,3. Kat,-,-,Klimalı,3,Kiralık,Boş,50m,1+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6966314,01.02.2019,Ahatlı Mahallesi',Kepez,Antalya kepez ahatlıda kiralık 1+1 eşyasız çatı katı daire no 173,680 TL
34976,1,5-10,100m,,Yüksek giriş,-,-,Klimalı,3,Kiralık,Boş,90m,2+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6966530,01.02.2019,Yeşilyurt Mahallesi',Kepez,Antalya kepez yeşilyurtta kiralık eşyalı 2+1 giriş no 17323,1.000 TL
34977,1,5-10,140m,,1. Kat,-,-,Klimalı,3,Kiralık,Boş,130m,3+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6966364,01.02.2019,Şafak Mahallesi',Kepez,Antalya kepez şafakta kiralık 3+1 daire no 17318,950 TL
34978,1,11-20,150m,,1. Kat,-,-,Klimalı,3,Kiralık,Boş,140m,3+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6966606,01.02.2019,Kültür Mahallesi',Kepez,Antalya kepez kültürde kiralık 3+1 daire no 17332,1.100 TL
34979,1,5-10,70m,,Yüksek giriş,-,-,Klimalı,3,Kiralık,Boş,60m,2+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6966653,01.02.2019,Yeşilyurt Mahallesi',Kepez,Antalya kepez yeşilyurtta kiralık 2+1 giriş no 17334,650 TL
34980,1,11-20,140m,,Yüksek giriş,-,-,Klimalı,3,Kiralık,Boş,130m,3+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6966728,01.02.2019,Yeni Doğan Mahallesi',Kepez,Antalya kepez yenidoğanda kiralık 3+1 giriş no 17336,800 TL
34981,1,0 (Yeni),100m,,3. Kat,-,-,Klimalı,3,Kiralık,Boş,90m,2+1,-,Hayır,Yok,Daire,2,Sıfır,Betonarme,6966346,01.02.2019,Ünsal Mahallesi',Kepez,Antalya kepez ünsalda kiralık 2+1 daire no 17315,750 TL
34982,1,5-10,100m,,1. Kat,-,-,Klimalı,3,Kiralık,Boş,90m,2+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6966386,01.02.2019,Yeşilyurt Mahallesi',Kepez,Antalya kepez yeşilyurtta kiralık 2+1 daire no 17321,900 TL
34983,1,5-10,100m,,2. Kat,-,-,Klimalı,3,Kiralık,Boş,90m,2+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6966578,01.02.2019,Yeşilyurt Mahallesi',Kepez,Antalya kepez yeşilyurtta kiralık 2+1 daire no 17326,800 TL
34984,1,5-10,55m,,Yüksek giriş,-,-,Klimalı,3,Kiralık,Boş,50m,1+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6966410,01.02.2019,Kültür Mahallesi',Kepez,Antalya kepez kültürde kiralık 1+1 eşyalı giriş no 17320,1.000 TL
34985,1,4,50m,,2. Kat,-,-,Klimalı,4,Kiralık,Boş,45m,1+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6966254,01.02.2019,Kültür Mahallesi',Kepez,Antalya kepez kültürde kiralık 1+1 eşyalı daire no 17302,1.000 TL
34986,1,11-20,60m,,Düz giriş,750 TRY,-,Klimalı,4,Kiralık,Boş,50m,1+1,18 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6967459,01.02.2019,Varlık Mahallesi',Muratpaşa,Varlıkta mobilyalı kiralık daire,750 TL
34987,2,4,190m,,3. Kat,900 TRY,-,Klimalı,3,Kiralık,Boş,180m,3+2,30 m,Hayır,Yok,Daire,2,İkinci El,Betonarme,6967539,01.02.2019,Gülveren Mahallesi',Kepez,ünüversite karşısı gülveren de kiralık dubleks,900 TL
34988,1,11-20,160m,,8. Kat,1250 TRY,-,Klimalı,10,Kiralık,Boş,140m,3+1,30 m,Hayır,Yok,Daire,2,İkinci El,Betonarme,6964368,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Güzeloba tez tour arkası deniz manzaralı 3+1 daire,1.250 TL
34989,1,20 ve üzeri,185m,,1. Kat,-,-,Klimalı,3,Kiralık,Boş,180m,3+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6963434,01.02.2019,Yeşilyurt Mahallesi',Kepez,Antalya kepez yeşilyurtta kiralık 3+1 daire no 17117,1.100 TL
34990,1,1,85m,,2. Kat,-,-,Klimalı,3,Kiralık,Boş,80m,2+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6964014,01.02.2019,Şafak Mahallesi',Kepez,Antalya kepez şafakta kiralık 2+1 giriş no 17261,550 TL
34991,3,11-20,40m,,Yüksek giriş,-,-,Klimalı,3,Kiralık,Boş,35m,1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6962910,01.02.2019,Fabrikalar Mahallesi',Kepez,Antalya kepez fabrikalarda kiralık 1+1 daire no 17080,600 TL
34992,1,0 (Yeni),50m,,2. Kat,-,-,Klimalı,3,Kiralık,Boş,45m,2+1,-,Hayır,Yok,Daire,1,Sıfır,Ahşap,6962727,01.02.2019,Yeni Doğan Mahallesi',Kepez,Antalya kepez yenidoğanda kiralık 2+1 daire no 17051,1.000 TL
34993,1,11-20,90m,,3. Kat,-,-,Klimalı,3,Kiralık,Boş,80m,2+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6964593,01.02.2019,Gülveren Mahallesi',Kepez,Antalya kepez gülverende kiralık 2+1 daire no 17286,750 TL
34994,1,3,750m,,Yüksek giriş,-,-,Klimalı,3,Kiralık,Boş,45m,1+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6963003,01.02.2019,Ahatlı Mahallesi',Kepez,Antalya kepez ahatlıda kiralık 1+1 giriş no 17112,750 TL
34995,1,5-10,50m,,Yüksek giriş,-,-,Klimalı,4,Kiralık,Boş,45m,1+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6964582,01.02.2019,Gülveren Mahallesi',Kepez,Antalya kepez gülverende kiralık 1+1 eşyalı giriş no 17282,800 TL
34996,1,11-20,80m,,Yüksek giriş,-,-,Klimalı,4,Kiralık,Boş,75m,1+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6962321,01.02.2019,Avni Tolunay Mahallesi',Kepez,Antalya kepez avnitolunayda kiralık 1+1 giriş no  16975,750 TL
34997,1,11-20,235m,,Villa tipi,2000 TRY,-,Klimalı,3,Kiralık,Boş,220m,4+1,35 m,Hayır,Yok,Daire,2,İkinci El,Betonarme,6964467,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Evcil hayvanı olanlara müstakil kiralık villa,2.000 TL
34998,1,0 (Yeni),50m,,1. Kat,-,-,Klimalı,3,Kiralık,Boş,45m,2+1,-,Hayır,Yok,Daire,1,Sıfır,Betonarme,6962703,01.02.2019,Yeni Doğan Mahallesi',Kepez,Antalya kepez yenidoğanda kiralık 2+1 daire no 17048,1.000 TL
34999,1,3,95m,,Yüksek giriş,-,-,Klimalı,3,Kiralık,Boş,90m,2+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6963830,01.02.2019,Yeni Doğan Mahallesi',Kepez,Antalya kepez yenidoğanda kiralık 2+1 giriş 17196,850 TL
35000,2,20 ve üzeri,160m,,8. Kat,2000 TRY,-,Klimalı,10,Kiralık,Boş,150m,3+1,35 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6964426,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Güzeloba tez tour yanı deniz manzaralı 3+1 ayrı mutfaklı daire,2.000 TL
35001,2,5-10,170m,,3. Kat,-,-,Klimalı,3,Kiralık,Boş,165m,4+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6963867,01.02.2019,Ahatlı Mahallesi',Kepez,Antalya kepez ahatlıda kiralık 4+1 dublex no 17223,1.350 TL
35002,1,0 (Yeni),110m,,1. Kat,-,-,Klimalı,3,Kiralık,Boş,100m,2+1,-,Hayır,Yok,Daire,1,Sıfır,Betonarme,6963891,01.02.2019,Ünsal Mahallesi',Kepez,Antalya kepez ünsalda kiralık 2+1 daire 17240,700 TL
35003,1,5-10,90m,,3. Kat,-,-,Klimalı,3,Kiralık,Boş,85m,2+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6962885,01.02.2019,Kültür Mahallesi',Kepez,Antalya kepez kültürde kiralık 2+1 daire no 17078,1.000 TL
35004,1,2,50m,,3. Kat,-,-,Klimalı,4,Kiralık,Boş,45m,1+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6963778,01.02.2019,Kültür Mahallesi',Kepez,Antalya kepez kültürde kiralık 1+1 eşyalı daire 17179,950 TL
35005,1,5-10,160m,,10. Kat,-,-,Klimalı,10,Kiralık,Boş,150m,3+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6963667,01.02.2019,Duraliler Mahallesi',Kepez,Antalya kepez duralilerde kiralık 3+1 daire no 17145,750 TL
35006,1,5-10,120m,,Çatı Katı,-,-,Klimalı,3,Kiralık,Boş,110m,2+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6964234,01.02.2019,Şafak Mahallesi',Kepez,Antalya kepez şafakta kiralık 2+1 çatı katı no 15761,700 TL
35007,2,4,180m,,3. Kat,-,-,Klimalı,3,Kiralık,Boş,170m,4+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6964566,01.02.2019,Yeşilyurt Mahallesi',Kepez,Antalya kepez yeşilyurtta kiralık 4+1 dublex no 17280,1.250 TL
35008,1,5-10,100m,,1. Kat,-,-,Klimalı,3,Kiralık,Boş,90m,2+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6964046,01.02.2019,Fabrikalar Mahallesi',Kepez,Antalya kepez fabrikalarda kiralık 2+1 eşyalı daire no 17274,1.250 TL
35009,1,0 (Yeni),45m,,1. Kat,-,-,Klimalı,3,Kiralık,Boş,40m,1,-,Hayır,Yok,Daire,1,Sıfır,Betonarme,6963989,01.02.2019,Yeşilyurt Mahallesi',Kepez,Antalya kepez yeşilyurtta kiralık 1+0 eşyalı apart no 17252,750 TL
35010,1,5-10,120m,,7. Kat,-,-,Klimalı,10,Kiralık,Boş,110m,3+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6963709,01.02.2019,Kültür Mahallesi',Kepez,Antalya kepez kültürde kiralık 3+1 daire 17177,1.300 TL
35011,1,2,70m,,1. Kat,-,-,Klimalı,3,Kiralık,Boş,65m,2+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6962565,01.02.2019,Şafak Mahallesi',Kepez,Antalya kepez şafakta kiralık 2+1 daire no 17036,800 TL
35012,1,11-20,150m,,4. Kat,-,-,Klimalı,10,Kiralık,Boş,140m,3+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6964641,01.02.2019,Meydankavağı Mahallesi',Muratpaşa,Antalya meydankavağında ara kat 3+1 daire,1.400 TL
35013,1,20 ve üzeri,140m,,1. Kat,1200 TRY,-,Klimalı,4,Kiralık,Boş,130m,3+1,30 m,Hayır,-,Daire,2,İkinci El,Betonarme,6960041,01.02.2019,Şirinyalı Mahallesi',Muratpaşa,şirin yalıda  site içerisinde kiralık daire,1.200 TL
35014,1,5-10,100m,,6. Kat,2500 TRY,-,Klimalı,8,Kiralık,Boş,90m,2+1,25 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6718181,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Güzeloba havuzlu site arakat eşyalı kiralık lüks daire,2.500 TL
35015,2,5-10,180m,,1. Kat,3000 TRY,-,Klimalı,6,Kiralık,Boş,170m,3+1,-,Hayır,Yok,Daire,3,İkinci El,Betonarme,6961853,01.02.2019,Güzeloba Mahallesi',Muratpaşa,Güzeloba kiralık 3+1 daire 180 m2,1.600 TL
35016,1,5-10,65m,,Yüksek giriş,-,-,Klimalı,4,Kiralık,Boş,60m,1+1,-,Hayır,-,Daire,1,İkinci El,Betonarme,6959831,01.02.2019,Gürsu Mahallesi',Konyaaltı,Denize 50 metre havuzlu sitede 1+1 eşyalı kiralık,1.750 TL
35017,1,0 (Yeni),70m,,3. Kat,-,-,Klimalı,4,Kiralık,Boş,60m,1+1,-,Hayır,-,Daire,-,-,-,6959551,01.02.2019,Kültür Mahallesi',Kepez,Depozitosuz eşyalı kiralık daire katta üniversitesiye 5dakika me,1.250 TL
35018,1,20 ve üzeri,150m,,4. Kat,950 TRY,-,Sobalı,5,Kiralık,Boş,145m,3+1,30 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6960704,02.02.2019,Ulus Mahallesi',Kepez,Kepez dokuma ulus mahallesi 150 m2 3+1 asansörlü masrafsız,950 TL
35019,2,5-10,125m,,7. Kat,2020 TRY,-,Klimalı,9,Kiralık,Boş,115m,2+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6959660,01.02.2019,Cikcilli Mahallesi',Alanya,Alanya cikcilli de kiralık 2+1 lüx daire,1.800 TL
35020,1,11-20,130m,,1. Kat,850 TRY,-,Klimalı,2,Kiralık,Boş,120m,3+1,-,Hayır,-,Daire,-,-,-,6960265,01.02.2019,Atatürk Mahallesi',Kepez,Han emlakdan atatürük mah dünyagöz yakını 1  kat kiralık 3+1,850 TL
35021,1,5-10,65m,,Yüksek giriş,1200 TRY,-,Klimalı,4,Kiralık,Boş,60m,1+1,-,Hayır,Yok,Daire,1,-,-,6961829,01.02.2019,Hurma Mahallesi',Konyaaltı,Hurma homes dan yüksek giriş  full eşya  merkezi konum 1+1,1.200 TL
35022,1,20 ve üzeri,140m,,2. Kat,800 TRY,-,Klimalı,6,Kiralık,Boş,130m,3+1,25 m,Hayır,Yok,Daire,2,İkinci El,Betonarme,6960304,01.02.2019,Yeşiltepe Mahallesi',Kepez,Dokumayeşiltepe mh cadde üzeri asansörlü 3+1 katta kiralık daire,800 TL
35023,1,11-20,135m,,9. Kat,1500 TRY,-,Klimalı,9,Kiralık,Kiracı Oturuyor,130m,2+1,30 m,Hayır,-,Daire,2,-,-,6960277,02.02.2019,Pınarbaşı Mahallesi',Konyaaltı,Konyaaltı pınarbaşında deniz manzaralı 2+1  eşyalı kiralık daire,1.500 TL
35024,1,11-20,150m,,3. Kat,1800 TRY,-,Klimalı,6,Kiralık,Boş,150m,3+1,35 m,Hayır,Yok,Daire,2,İkinci El,Betonarme,6892846,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Güzeloba örnekköy migros arkası 3+1 eşyalıkiralık daire,1.800 TL
35025,2,4,110m,,1. Kat,-,-,Klimalı,4,Kiralık,Boş,100m,2+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6959601,01.02.2019,Liman Mahallesi',Konyaaltı,Konyaaltı liman mah kiralık eşyalı 2+1 lüks sitede,2.000 TL
35026,-,5-10,145m,,-,1400 TRY,-,Klimalı,4,Kiralık,Boş,135m,3+1,-,Hayır,Yok,Daire,-,İkinci El,Betonarme,6959027,01.02.2019,Hurma Mahallesi',Konyaaltı,Konyaaltı hurmada havuzlu 3+1 boş olarak kiralık daire,1.400 TL
35027,1,11-20,165m,,12. Kat,-,Boş,Klimalı,12,Kiralık,Boş,150m,3+1,37 m,Hayır,Yok,Daire,2,İkinci El,Betonarme,6960815,01.02.2019,Meydankavağı Mahallesi',Muratpaşa,Meydankavağı site içerisinde 3+1 150m2 gdk cepheli,1.100 TL
35028,1,4,100m,,2. Kat,1400 TRY,-,Klimalı,4,Kiralık,Boş,96m,2+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6960377,01.02.2019,Liman Mahallesi',Konyaaltı,Konyaaltı limanda havuzlu 2+1 full eşyalı kiralık daire,1.400 TL
35029,1,4,65m,,2. Kat,500 TRY,-,Klimalı,4,Kiralık,Boş,60m,1+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6961609,01.02.2019,Arapsuyu Mahallesi',Konyaaltı,Konyaaltı arapsuyunda full esyalı 1+1 4 aylık kiralık daire,1.500 TL
35030,1,2,70m,,3. Kat,-,-,Klimalı,4,Kiralık,Boş,65m,2+1,-,Hayır,-,Daire,1,-,-,6961401,01.02.2019,Kültür Mahallesi',Kepez,Kültür mahallesinde katta asansörlü klimalı 2+1 kiralık daire,900 TL
35031,3,0 (Yeni),220m,,Bahçe dublex,-,-,Güneş Enerjisi,4,Kiralık,Boş,200m,5+1,-,Hayır,-,Daire,3,-,-,6961756,31.01.2019,Büyükhasbahçe Mahallesi',Alanya,5+1  sıfır binada bahçe dubleksi,1.600 TL
35032,1,4,65m,,2. Kat,500 TRY,-,Klimalı,4,Kiralık,Boş,60m,1+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6961582,01.02.2019,Arapsuyu Mahallesi',Konyaaltı,Arapsuyunda 4 aylık 1+1 full eşyalı kiralık daire,1.500 TL
35033,2,0 (Yeni),100m,,2. Kat,-,-,Klimalı,4,Kiralık,Boş,90m,2+1,-,Hayır,-,Daire,2,-,-,6961752,31.01.2019,Büyükhasbahçe Mahallesi',Alanya,Yeni binada eşyasız 2  kat daire,1.000 TL
35034,1,11-20,100m,,4. Kat,-,-,Güneş Enerjisi,4,Kiralık,Boş,90m,2+1,-,Hayır,-,Daire,-,-,-,6961726,31.01.2019,Dinek Mahallesi',Alanya,Kale deniz manzaralı 2+1 eşyalı daire,1.500 TL
35035,1,5-10,90m,,8. Kat,1200 TRY,-,Klimalı,8,Kiralık,Boş,85m,2+1,-,Hayır,-,Daire,1,-,Betonarme,6960730,01.02.2019,Güzeloba Mahallesi',Muratpaşa,2+1 mobilyalı kiralık daire site içinde güvenlikli havuzlu,1.200 TL
35036,1,5-10,60m,,Yüksek giriş,700 TRY,-,Klimalı,4,Kiralık,Boş,50m,1+1,16 m,Hayır,-,Daire,1,-,-,6961174,01.02.2019,Hurma Mahallesi',Konyaaltı,Hurmada kiralık 1+1 daire,700 TL
35037,1,5-10,120m,,Yüksek giriş,1800 TRY,-,Klimalı,2,Kiralık,Boş,120m,3+1,-,Hayır,-,Daire,2,-,-,6320949,01.02.2019,Ilıca Mahallesi',Manavgat,Ata emlaktan ılıca da haftalık aylık kiralık eşyalı daire,1.800 TL
35038,1,0 (Yeni),110m,,Bahçe dublex,-,-,Klimalı,4,Kiralık,Boş,90m,2+1,-,Hayır,Yok,Daire,1,Sıfır,Betonarme,6958833,01.02.2019,Hurma Mahallesi',Konyaaltı,Konyaaltı hurmada 2+1 lüx eşyalı havuzlu bahce dubleks,2.000 TL
35039,1,5-10,120m,,1. Kat,1300 TRY,-,Klimalı,4,Kiralık,Boş,110m,2+1,-,Hayır,-,Daire,-,-,-,6958514,01.02.2019,Güzeloba Mahallesi',Muratpaşa,Güzelobada 2+1 ayrı mut daire,1.300 TL
35040,1,4,130m,,2. Kat,1200 TRY,-,Klimalı,4,Kiralık,Boş,120m,3+1,-,Hayır,-,Daire,-,-,-,6958156,01.02.2019,Kızılsaray Mahallesi',Muratpaşa,Antalya muratpaşa markantalya yakını yeni bina kiralık 3+1 daire,1.200 TL
35041,1,5-10,95m,,1. Kat,1500 TRY,-,Klimalı,3,Kiralık,Boş,85m,2+1,-,Hayır,-,Daire,1,İkinci El,Betonarme,6957730,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Güzeloba yalı caddesinde katta esyalı havuzlu2+1 kiralık daire,1.500 TL
35042,1,5-10,60m,,Yüksek giriş,1500 TRY,-,Klimalı,3,Kiralık,Boş,60m,1+1,-,Hayır,-,Daire,-,-,-,6957987,01.02.2019,Hurma Mahallesi',Konyaaltı,Konyaaltı  gürsuda  denize  yakın  eşyalı  kiralık  daire,1.500 TL
35043,1,5-10,175m,,10. Kat,1650 TRY,-,Klimalı,12,Kiralık,Boş,160m,3+1,-,Hayır,-,Daire,-,-,-,6957242,01.02.2019,Çağlayan Mahallesi',Muratpaşa,Cağlayanda sıte icı 3+1 kiralik,1.650 TL
35044,1,4,75m,,Kot 1,1250 TRY,-,Klimalı,2,Kiralık,Boş,50m,1+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6957514,01.02.2019,Gürsu Mahallesi',Konyaaltı,Konyaaltı gürsu da full eşyalı  genıs  1+1,1.250 TL
35045,1,5-10,105m,,1. Kat,1300 TRY,-,Klimalı,5,Kiralık,Boş,95m,2+1,-,Hayır,-,Daire,2,İkinci El,Betonarme,6957852,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Güzeloba merkezi konum 2+1 kiralık daire,1.300 TL
35046,1,1,65m,,5. Kat,1300 TRY,-,Klimalı,8,Kiralık,Boş,65m,1+1,-,Hayır,Yok,Daire,-,İkinci El,Betonarme,5230194,01.02.2019,Güzeloba Mahallesi',Muratpaşa,Lara turizm yolu üzerinde lüks 1+1 residance daire,1.300 TL
35047,2,4,175m,,4. Kat,1500 TRY,-,Klimalı,4,Kiralık,Boş,165m,3+1,-,Hayır,Yok,Daire,3,İkinci El,Betonarme,6957907,01.02.2019,Liman Mahallesi',Konyaaltı,Konyaaltı limanda ayrı mutfaklı 3+1 full eşyalı dubleks kiralık,1.500 TL
35048,1,0 (Yeni),85m,,1. Kat,-,-,Klimalı,2,Kiralık,Boş,80m,2+1,-,Hayır,-,Daire,-,Sıfır,-,6899320,31.01.2019,Barış Mahallesi',Kepez,Barış mahallesinde katta sıfır 2+1 kiralık daire,800 TL
35049,1,0 (Yeni),80m,,1. Kat,-,-,Klimalı,2,Kiralık,Boş,75m,2+1,-,Hayır,-,Daire,-,-,-,6958260,31.01.2019,Barış Mahallesi',Kepez,Barış  mahallesinde  dsı  arkası  arakat  2+1  kiralık  daire,800 TL
35050,1,4,110m,,3. Kat,-,Boş,Klimalı,4,Kiralık,Boş,100m,2+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6956571,01.02.2019,Hurma Mahallesi',Konyaaltı,Konyaaltı hurma da kiralık katta havuzlu sitede merkezi konum,1.100 TL
35051,2,5-10,125m,,7. Kat,1500 TRY,-,Klimalı,10,Kiralık,Boş,110m,2+1,-,Hayır,-,Daire,-,-,-,6956591,01.02.2019,Cikcilli Mahallesi',Alanya,Alanya cikcilli alanyum arkasında 2+1 kiralık eşyalı daire,1.500 TL
35052,-,11-20,75m,,Yarı bodrum,-,-,Sobalı,2,Kiralık,Boş,70m,1+1,-,Hayır,-,Daire,-,-,-,6890727,02.02.2019,Sorgun Mahallesi',Manavgat,Huzur emlaktan sorgunda eşyalı kiralık daire,500 TL
35053,1,5-10,100m,,Bahçe katı,1150 TRY,Boş,Klimalı,4,Kiralık,Boş,90m,2+1,-,Hayır,Yok,Daire,-,İkinci El,Betonarme,6955212,01.02.2019,Öğretmenevleri Mahallesi',Konyaaltı,Antalya konyaaltı ö evleri nashira park manzaralı 2+1,1.150 TL
35054,2,3,110m,,Bahçe dublex,-,-,Klimalı,4,Kiralık,Boş,100m,2+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6955683,01.02.2019,Hurma Mahallesi',Konyaaltı,Konyaaltı hurma mah kiralık eşyalı 2+1 bahce dubleks,1.750 TL
35055,1,5-10,90m,,Yüksek giriş,-,-,Klimalı,3,Kiralık,Boş,80m,2+1,-,Hayır,-,Daire,-,-,-,6954790,01.02.2019,Gebizli Mahallesi',Muratpaşa,Park antalya yakını çok geniş 90 m2 1+1 ayrı mutfaklı,650 TL
35056,Yok,11-20,145m,,7. Kat,1500 TRY,-,Klimalı,10,Kiralık,Boş,145m,3+1,-,Hayır,-,Daire,-,-,-,6275221,01.02.2019,Gürsu Mahallesi',Konyaaltı,Antalya konyaaltı gürsu mah kiralık 3+1,1.500 TL
35057,1,4,65m,,1. Kat,-,-,Klimalı,4,Kiralık,Boş,60m,1+1,-,Hayır,-,Daire,-,-,-,6956420,01.02.2019,Gülveren Mahallesi',Kepez,Gülverende geniş 1+1 1 kat daire eşyalı,800 TL
35058,1,4,60m,,3. Kat,1500 TRY,Boş,Klimalı,12,Kiralık,Boş,59m,1+1,-,Evet,Yok,Daire,1,İkinci El,Betonarme,6954625,01.02.2019,Cikcilli Mahallesi',Alanya,Cikcilli de lüks ful konsept sitede aidat dahil kiralık 1+1 daire,1.500 TL
35059,2,4,110m,,1. Kat,1250 TRY,-,Klimalı,4,Kiralık,Boş,100m,2+1,-,Hayır,Yok,Daire,-,İkinci El,Betonarme,6955960,01.02.2019,Hurma Mahallesi',Konyaaltı,Alyans gayrimenkul den hurma da çift banyo 110 m2 geniş 2+1,1.250 TL
35060,1,0 (Yeni),55m,,Çatı Katı,1300 TRY,-,Kombi Doğalgaz,3,Kiralık,Boş,45m,1+1,-,Hayır,Yok,Daire,1,Sıfır,-,6954652,01.02.2019,Toros Mahallesi',Konyaaltı,Akdeniz üniversitesine yakın toros mah de 1+1 eşyalı daire,1.300 TL
35061,1,0 (Yeni),70m,,2. Kat,800 TRY,-,Klimalı,4,Kiralık,Boş,65m,1+1,-,Hayır,Yok,Daire,1,Sıfır,Betonarme,6955925,01.02.2019,Sarısu Mahallesi',Konyaaltı,Konyaaltı sarısuda sıfır genis boş kiralık havuzlu daire,800 TL
35062,1,5-10,100m,,1. Kat,-,-,Klimalı,4,Kiralık,Boş,95m,2+1,-,Hayır,-,Daire,1,İkinci El,Betonarme,6956432,01.02.2019,Liman Mahallesi',Konyaaltı,Liman da lüks sitede 2+1 eşyalık kiralık daire,2.000 TL
35063,1,1,85m,,3. Kat,1200 TRY,-,Klimalı,4,Kiralık,Boş,80m,2+1,-,Hayır,Yok,Daire,-,İkinci El,Betonarme,6956349,01.02.2019,Hurma Mahallesi',Konyaaltı,Alyans tan liman da merkezi yerde havuzlu katta 2+1 daire,1.200 TL
